"Table: FAD, LAD, Lifespan and Family of Planktonic Foraminifera",,,,,,,,,,,,,
Morphospecies name,FAD,LAD,Lifespan,Genus,Family,Morphogroup,Ecogroup,,,,,,
Beella digitata,55.43,51.67,3.76,Beella,Truncorotaloididae,"M18-muricocarinate, keeled",E4-sub-thermocline,,E5-high-latitude,High-latitude,,E5-high-latitude,Species that are only found in high-latitude sites
Beella megastoma,55.56,17.54,38.02,Beella,Globigerinidae,M2-globular,E4-sub-thermocline,,E6-upwelling/high,Upwelling/high,,E6-upwelling/high,﻿Species that are only found in sites of high productivity or upwelling
Beella praedigitata,55.39,50.67,4.72,Beella,Truncorotaloididae,"M18-muricocarinate, keeled",E4-sub-thermocline,,,,,,
Catapsydrax africanus,45.72,39.97,5.75,Catapsydrax,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Catapsydrax dissimilis,43.81,33.90,9.91,Catapsydrax,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Catapsydrax globiformis,54.61,50.67,3.94,Catapsydrax,Truncorotaloididae,"M19-muricocarinate, anguloconical",E4-sub-thermocline,,,,,,
Catapsydrax howei,44.78,40.06,4.73,Catapsydrax,Truncorotaloididae,"M19-muricocarinate, anguloconical",E4-sub-thermocline,,,,,,
Catapsydrax parvulus,44.78,43.23,1.55,Catapsydrax,Truncorotaloididae,M7-globular,E4-sub-thermocline,,,,,,
Catapsydrax stainforthi,44.55,15.96,28.59,Catapsydrax,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Catapsydrax unicavus,43.54,30.28,13.26,Catapsydrax,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Clavatorella bermudezi,55.49,54.61,0.88,Clavatorella,Truncorotaloididae,"M19-muricocarinate, anguloconical",E4-sub-thermocline,,,,,,
Clavigerinella akersi,55.89,33.90,21.99,Clavigerinella,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Clavigerinella caucasica,55.96,55.75,0.21,Clavigerinella,Truncorotaloididae,"M17-muricate, acarininiform",E4-sub-thermocline,,,,,,
Clavigerinella colombiana,55.89,43.54,12.35,Clavigerinella,Hedbergellidae,"M13-turborotaliform, non-keeled",E4-sub-thermocline,,,,,,
Clavigerinella eocanica,55.81,42.90,12.92,Clavigerinella,Hedbergellidae,M9-planispiral,E4-sub-thermocline,,,,,,
Clavigerinella jarvisi,55.96,46.57,9.39,Clavigerinella,Truncorotaloididae,"M17-muricate, acarininiform",E4-sub-thermocline,,,,,,
Cribrohantkenina inflata,2.04,0.00,2.04,Cribrohantkenina,Pulleniatinidae,M7-globular,E2-Without Symbionts,,,,,,
Dentoglobigerina altispira,56.25,43.31,12.94,Dentoglobigerina,Truncorotaloididae,M7-globular,E1-With Symbionts,,,,,,
Dentoglobigerina baroemoenensis,58.40,55.35,3.04,Dentoglobigerina,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Dentoglobigerina binaiensis,65.96,62.49,3.46,Dentoglobigerina,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Dentoglobigerina galavisi,60.73,55.20,5.53,Dentoglobigerina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Dentoglobigerina globosa,60.42,57.56,2.86,Dentoglobigerina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Dentoglobigerina globularis,60.68,55.20,5.48,Dentoglobigerina,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Dentoglobigerina larmeui,60.52,57.56,2.96,Dentoglobigerina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Dentoglobigerina prasaepis,63.90,62.29,1.61,Dentoglobigerina,Truncorotaloididae,M7-globular,E4-sub-thermocline,,,,,,
Dentoglobigerina pseudovenezuelana,60.83,55.20,5.63,Dentoglobigerina,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Dentoglobigerina rohri,65.90,62.67,3.23,Dentoglobigerina,Hedbergellidae,"M13-turborotaliform, non-keeled",E4-sub-thermocline,,,,,,
Dentoglobigerina sellii,65.25,57.79,7.46,Dentoglobigerina,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Dentoglobigerina sp,62.89,57.89,5.00,Dentoglobigerina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Dentoglobigerina tapuriensis,65.77,60.63,5.15,Dentoglobigerina,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Dentoglobigerina venezuelana,63.90,42.56,21.34,Dentoglobigerina,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Eoglobigerina edita,43.39,33.90,9.49,Eoglobigerina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Eoglobigerina eobulloides,43.50,41.31,2.19,Eoglobigerina,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Eoglobigerina spiralis,43.50,40.65,2.85,Eoglobigerina,Hedbergellidae,M7-globular,E3-thermocline,,,,,,
Fohsella birnageae,5.70,0.00,5.70,Fohsella,Pulleniatinidae,M7-globular,E3-thermocline,,,,,,
Fohsella fohsi,4.35,0.00,4.35,Fohsella,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Fohsella lenguaensis,4.91,0.00,4.91,Fohsella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Fohsella lobata,4.37,0.00,4.37,Fohsella,Globoquadrinidae,M7-globular,E3-thermocline,,,,,,
Fohsella paralenguaensis,5.22,4.49,0.73,Fohsella,Pulleniatinidae,M7-globular,E3-thermocline,,,,,,
Fohsella peripheroacuta,5.72,0.00,5.72,Fohsella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Fohsella peripheroronda,4.61,4.21,0.40,Fohsella,Pulleniatinidae,"M8-globular, keeled",E3-thermocline,,,,,,
Fohsella praefohsi,4.43,3.73,0.70,Fohsella,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Fohsella robusta,4.40,0.00,4.40,Fohsella,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Globanomalina archeocompressa,5.53,0.00,5.53,Globanomalina,Globigerinidae,M7-globular,E3-thermocline,,,,,,
Globanomalina australiformis,4.61,2.39,2.22,Globanomalina,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Globanomalina chapmani,5.02,0.00,5.02,Globanomalina,Globigerinidae,M5-clavate,E3-thermocline,,,,,,
Globanomalina compressa,5.66,0.89,4.76,Globanomalina,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Globanomalina ehrenbergi,5.59,0.00,5.59,Globanomalina,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Globanomalina imitata,5.07,4.18,0.89,Globanomalina,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Globanomalina luxorensis,4.61,0.00,4.61,Globanomalina,Globorotaliidae,"M14-globorotaliform, keeled",E2-Without Symbionts,,,,,,
Globanomalina ovalis,4.55,0.00,4.55,Globanomalina,Globigerinidae,M1-flat,E2-Without Symbionts,,,,,,
Globanomalina planocompressa,5.46,4.55,0.91,Globanomalina,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Globanomalina planoconica,4.81,4.12,0.69,Globanomalina,Globorotaliidae,"M16-globorotaliform, non-keeled",E3-thermocline,,,,,,
Globanomalina pseudomenardii,4.20,1.01,3.20,Globanomalina,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Globigerina angulisuturalis,34.03,26.59,7.44,Globigerina,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerina bulloides,34.42,34.03,0.39,Globigerina,Hedbergellidae,"M12-turborotaliform, keeled",E2-Without Symbionts,,,,,,
Globigerina ciperoensis,35.89,32.10,3.79,Globigerina,Hedbergellidae,M9-planispiral,E2-Without Symbionts,,,,,,
Globigerina druryi,32.79,30.22,2.57,Globigerina,Hedbergellidae,M7-globular,E1-With Symbionts,,,,,,
Globigerina eamesi,32.63,21.88,10.75,Globigerina,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerina falconensis,33.58,23.34,10.24,Globigerina,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globigerina officinalis,33.37,3.30,30.07,Globigerina,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globigerina praebulloides,31.29,15.67,15.62,Globigerina,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerina umbilicata,34.29,19.30,14.99,Globigerina,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globigerinatheka barri,48.31,40.40,7.91,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinatheka curryi,50.67,44.60,6.07,Globigerinatheka,Hedbergellidae,M9-planispiral,E1-With Symbionts,,,,,,
Globigerinatheka euganea,52.17,33.90,18.27,Globigerinatheka,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinatheka index,47.41,32.31,15.10,Globigerinatheka,Hedbergellidae,M9-planispiral,E1-With Symbionts,,,,,,
Globigerinatheka korotkovi,47.71,37.32,10.39,Globigerinatheka,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinatheka kugleri,50.20,36.56,13.64,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinatheka luterbacheri,50.20,30.28,19.92,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinatheka mexicana,48.01,39.97,8.04,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinatheka semiinvoluta,50.67,43.67,7.00,Globigerinatheka,Truncorotaloididae,"M19-muricocarinate, anguloconical",E1-With Symbionts,,,,,,
Globigerinatheka subconglobata,49.39,43.31,6.08,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinatheka tropicalis,50.20,43.54,6.66,Globigerinatheka,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinella adamsi,55.68,33.90,21.78,Globigerinella,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Globigerinella calida,42.36,40.14,2.22,Globigerinella,Globigerinidae,M4-spherical,E3-thermocline,,,,,,
Globigerinella obesa,39.07,34.03,5.04,Globigerinella,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Globigerinella praesiphonifera,40.40,39.97,0.43,Globigerinella,Globigerinidae,M4-spherical,E3-thermocline,,,,,,
Globigerinella siphonifera,55.81,42.00,13.81,Globigerinella,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Globigerinoides altiapertura,50.20,41.89,8.31,Globigerinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinoides bisphericus,50.67,38.78,11.89,Globigerinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinoides conglobatus,48.65,43.54,5.11,Globigerinoides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinoides diminutus,50.55,32.31,18.24,Globigerinoides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinoides extremus,48.31,40.65,7.66,Globigerinoides,Hedbergellidae,M7-globular,E1-With Symbionts,,,,,,
Globigerinoides fistulosus,51.79,50.79,1.00,Globigerinoides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinoides mitra,49.05,46.87,2.19,Globigerinoides,Truncorotaloididae,M11-keeled spines,E1-With Symbionts,,,,,,
Globigerinoides obliquus,47.31,39.27,8.04,Globigerinoides,Hedbergellidae,M9-planispiral,E1-With Symbionts,,,,,,
Globigerinoides parawoodi,50.20,48.01,2.19,Globigerinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinoides primordius,48.65,37.99,10.66,Globigerinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinoides ruber,47.41,41.89,5.52,Globigerinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Globigerinoides sacculifer,47.41,34.29,13.12,Globigerinoides,Hantkeninidae,M6-planispiral,E1-With Symbionts,,,,,,
Globigerinoides seigliei,50.20,33.90,16.30,Globigerinoides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globigerinoides subquadratus,47.41,42.67,4.74,Globigerinoides,Globigerinidae,M6-planispiral,E1-With Symbionts,,,,,,
Globigerinoides trilobus,46.92,40.40,6.52,Globigerinoides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globoconella conoidea,5.81,0.00,5.81,Globoconella,Globigerinidae,M1-flat,E3-thermocline,,,,,,
Globoconella conomiozea,8.58,3.77,4.81,Globoconella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Globoconella inflata,62.60,61.33,1.27,Globoconella,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Globoconella miozea,6.03,3.85,2.18,Globoconella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Globoconella pliozea,10.90,0.00,10.90,Globoconella,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Globoconella puncticulata,62.60,62.08,0.52,Globoconella,Truncorotaloididae,M7-globular,E3-thermocline,,,,,,
Globoconella sphericomiozea,62.93,62.29,0.63,Globoconella,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Globoconella terminalis,11.18,1.64,9.54,Globoconella,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Globoquadrina conglomerata,62.29,61.33,0.96,Globoquadrina,Truncorotaloididae,M7-globular,E3-thermocline,,,,,,
Globoquadrina dehiscens,60.52,54.85,5.67,Globoquadrina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Globorotalia flexuosa,8.90,1.98,6.92,Globorotalia,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Globorotalia merotumida,6.61,3.66,2.95,Globorotalia,Pulleniatinidae,M7-globular,E3-thermocline,,,,,,
Globorotalia plesiotumida,6.24,1.86,4.39,Globorotalia,Pulleniatinidae,M7-globular,E3-thermocline,,,,,,
Globorotalia tumida,6.04,4.81,1.23,Globorotalia,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Globorotalia ungulata,6.21,0.00,6.21,Globorotalia,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Globorotalia zealandica,14.76,8.83,5.93,Globorotalia,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Globorotaloides eovariabilis,43.54,36.37,7.17,Globorotaloides,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Globorotaloides hexagonus,43.85,36.08,7.77,Globorotaloides,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Globorotaloides quadrocameratus,43.77,35.67,8.11,Globorotaloides,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Globorotaloides testarugosa,44.08,40.06,4.02,Globorotaloides,Truncorotaloididae,"M17-muricate, acarininiform",E4-sub-thermocline,,,,,,
Globorotaloides variabilis,44.03,43.89,0.14,Globorotaloides,Hantkeninidae,M6-planispiral,E4-sub-thermocline,,,,,,
Globoturborotalita anguliofficinalis,35.27,30.28,4.99,Globoturborotalita,Hedbergellidae,M7-globular,E2-Without Symbionts,,,,,,
Globoturborotalita apertura,35.52,30.28,5.24,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita bassriverensis,34.85,23.03,11.82,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita bollii,47.41,34.68,12.73,Globoturborotalita,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globoturborotalita brazieri,34.13,33.05,1.07,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globoturborotalita connecta,34.16,4.81,29.34,Globoturborotalita,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globoturborotalita decoraperta,35.59,30.28,5.31,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita gnaucki,36.84,26.82,10.03,Globoturborotalita,Globoquadrinidae,M7-globular,E2-Without Symbionts,,,,,,
Globoturborotalita kennetti,50.44,37.99,12.45,Globoturborotalita,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Globoturborotalita labiacrassata,34.42,32.74,1.68,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita martini,33.90,24.80,9.10,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globoturborotalita nepenthes,36.46,33.90,2.56,Globoturborotalita,Hantkeninidae,M10-tubulospinate,E2-Without Symbionts,,,,,,
Globoturborotalita ouachitaensis,33.48,23.03,10.44,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globoturborotalita rubescens,37.61,17.54,20.07,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita tenella,38.09,33.90,4.19,Globoturborotalita,Hantkeninidae,M10-tubulospinate,E2-Without Symbionts,,,,,,
Globoturborotalita woodi,32.10,3.30,28.80,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Guembelitrioides nuttalli,42.78,31.90,10.89,Guembelitrioides,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Hantkenina alabamensis,1.95,0.00,1.95,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina australis,2.58,0.56,2.01,Hantkenina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Hantkenina compressa,1.91,0.38,1.53,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina dumblei,2.48,0.00,2.48,Hantkenina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Hantkenina lehneri,2.67,0.00,2.67,Hantkenina,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Hantkenina liebusi,3.35,0.61,2.74,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E4-sub-thermocline,,,,,,
Hantkenina mexicana,3.52,1.80,1.72,Hantkenina,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hantkenina nanggulanensis,2.00,0.00,2.00,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina primitiva,2.09,0.00,2.09,Hantkenina,Globorotaliidae,"M16-globorotaliform, non-keeled",E3-thermocline,,,,,,
Hantkenina singanoae,3.33,1.88,1.45,Hantkenina,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Hedbergella [ancestor],0.01,0.00,0.01,Hedbergella,Globigerinidae,M5-clavate,-,,,,,,
Hedbergella holmdelensis,62.29,60.42,1.87,Hedbergella,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Hedbergella monmouthensis,62.45,60.52,1.93,Hedbergella,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Hirsutella bermudezi,15.16,9.25,5.90,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Hirsutella challengeri,14.79,0.00,14.79,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella cibaoensis,14.94,0.00,14.94,Hirsutella,Globigerinidae,M4-spherical,E4-sub-thermocline,,,,,,
Hirsutella evoluta,15.73,12.40,3.33,Hirsutella,Globigerinidae,M5-clavate,E4-sub-thermocline,,,,,,
Hirsutella gigantea,9.44,4.49,4.95,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Hirsutella hirsuta,13.14,0.00,13.14,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella juanai,15.10,0.00,15.10,Hirsutella,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Hirsutella margaritae,9.96,5.94,4.01,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella praemargaritae,9.83,1.80,8.03,Hirsutella,Globorotaliidae,M7-globular,E4-sub-thermocline,,,,,,
Hirsutella praescitula,15.10,0.00,15.10,Hirsutella,Globigerinidae,M4-spherical,E4-sub-thermocline,,,,,,
Hirsutella primitiva,10.64,2.39,8.25,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella scitula,9.24,5.32,3.92,Hirsutella,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Hirsutella theyeri,9.69,4.81,4.88,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Igorina albeari,3.60,0.00,3.60,Igorina,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
